"id";"year";"width";"height";"depth";"title";"description";"artistid";"latitude";"longitude";"city";"country";"sortyear";"roomid";"imageid";"imagepath"
235;"1666";98.5;123.5;;"Portrait de la marquise de Castries, née Isabeau de Bonzi";"";66;;;"Montpellier";"France";1666;92;855;"b73011f3c356c1fb0d39945896320636a0d8a82d3ed5b5824a8943c834008943.jpg"
236;"1839";122;154.5;;"Portrait d'Edmond Rouët";"";67;;;"Montpellier";"France";1839;92;856;"16c3560c3d109c42dfdbd1aea8e2bfd4acc6b60e6f770965f1ae8f2fc9dcbbc1.jpg"
237;"1844";65.5;54.5;;"Marguerite de Bourgogne écoutant Buridan";"";67;;;"Montpellier";"France";1844;92;857;"61da2f00dbf00c1db27fe41afff2d77d5b0cfae91d33b9438aa678f9e761a204.jpg"
238;"1844";32.5;41;;"Marguerite de Bourgogne assise";"";67;;;"Montpellier";"France";1844;92;858;"988c37ee2ae1917c7e9d655b20791e9067c684ce080cabdd0b76c3fb48dbfe59.jpg"
239;"1850";53.5;65;;"Portrait de la première femme de Matet";"";68;;;"Montpellier";"France";1850;92;859;"ce8bdcc86efc5b2c8b638ace9abfee7876b48539b07b827c87f97c1af614c7be.jpg"
240;"1832";49.5;60.5;;"Portrait de l'auteur";"";68;;;"Montpellier";"France";1832;92;860;"ea5ac662f34a5f07487f23cf442c792d3bb14fc324dd9cb72df0b4c7ae9e615c.jpg"
241;"1850";38.5;47;;"Portrait d'un prêtre";"";68;;;"Montpellier";"France";1850;92;861;"d140650687cc13eb86a8cbb3d2cb43e6c88b0e97a19f2a81f255a546fb27a07a.jpg"
242;"1846";20;25;;"La main d'Alfred Bruyas";"";68;;;"Montpellier";"France";1846;92;862;"7b5ade248b155a6958ab0de1cb5a596d7fc635428fe2d5d02bd25539e8e7d878.jpg"
243;"1652";91;108.5;;"Adolf Johan de Pfalz, comte palatin";"";52;;;"Montpellier";"France";1652;92;863;"5246912f65d0831ce9bdc04bbbe0fdaae28fe87b61283dd88ed5e1c0132a90d7.jpg"
244;"1815";;;;"Une ferme aux environs de Pau";"";218;;;"Montpellier";"France";1815;92;864;"8fd3004a89daf439ae9ef4700b821b0fc76a64bde067e4215a44ab9e8e1d1771.jpg"
245;"1803";72.5;92.5;;"Portrait de Louis-François Bertin";"";29;;;"Montpellier";"France";1803;92;865;"003293d0951aec975e829eca2040b002b89aa0807f491a2571aa0e2caf349b17.jpg"
246;"1802";73;94.5;;"Portrait de Geneviève Aimée Victoire Bertin";"";29;;;"Montpellier";"France";1802;92;866;"974ffc24a4874c417f409f429da4703d02ff2d07b8f6f6baaaf3adf7539aadff.jpg"
247;"1833";;;;"Le Cardinal de Richelieu reçoit les premiers Académiciens qui lui présentent les statuts de l'Académie";"";219;;;"Montpellier";"France";1833;92;867;"473718fcb1b63608603dfd21fad578f8cfe5ee4eacef46db055c15b8b28e413d.jpg"
248;"1660";59.5;71.5;;"La poule blanche";"";195;;;"Montpellier";"France";1660;92;868;"51e9b91d55b965d2e2aa04f9edf7861302552ef509a7a48596dc70818fac2a1e.jpg"
249;"1660";57;48;;"Paysage avec des chasseurs";"";196;;;"Montpellier";"France";1660;92;869;"bfb95b25d365bbbdcc5a7ee50cdec8b1d557f85c6ecb022da5bfb0be6469984b.jpg"
250;"1675";167.5;195;;"Chasse au sanglier";"";220;;;"Montpellier";"France";1675;92;870;"18a6a0d9f360bef175e3100a9aaff0a79de8c9dd0b322eeb8564ad72002845f1.jpg"
251;"1812";51.5;68;;"Vue de la grotte des sirènes à Tivoli";"";221;;;"Montpellier";"France";1812;92;871;"3e539b9eec9e735bd62fc0fe83fc0a1ac676f2d0ed1bb13c1667fdaf56e56a8a.jpg"
252;"1640";;;;"Moïse sur le mont Sinaï";"";222;;;"Montpellier";"France";1640;92;872;"389dbb945d5451a9726f77de4c7682f176864d83f58bf97979c2b72ae5fe85a7.jpg"
253;"1675";;;;"Céphale et Procris — Paysage";"";223;;;"Montpellier";"France";1675;92;873;"ad8085da16fc91602dbf8ce69824e581515fba1106ce75717325d12586eff0b7.jpg"
254;"1827";;;;"Etude pour L'Apothéose d'Homère";"";124;;;"Montpellier";"France";1827;92;874;"5483104f506c591a5b9a9d3b27218d44b9c68988c0a86379d44a56feb37b59d3.jpg"
255;"1730";;;;"Paysage au mendiant";"";224;;;"Montpellier";"France";1730;92;875;"e477138917553c773e95c637d0cc858fdc10c697b89c0acaa272f4ad6963b7de.jpg"
256;"1633";37;53;;"Sainte Famille avec Saint Jean-Baptiste.";"";225;;;"Montpellier";"France";1633;92;876;"80cb7860307b1153b61dd7cbc5d7e7439d91d7d19c3a37e0f2ccd448b26c427b.jpg"
257;"1857";58;73;;"Madeleine expirant";"";62;;;"Montpellier";"France";1857;92;877;"e4ad944b7656de3a93d32cc8fd01f8f954a739f7149a23881792bc6c43cb2c9f.jpg"
258;"1827";;;;"Danaé";"Dans la mythologie grecque, Danaé (en grec ancien Δανάη / Danáê), fille d'Acrisios (roi d'Argos) et d'Eurydice (fille de Lacédémon), est la mère de Persée.";226;;;"Montpellier";"France";1827;92;878;"d1cdb5c4b6a2f6a9db8002fc63e56d9542f1c552861ca6084892015f0f7c99a7.jpg"
259;"1620";66.5;93.5;;"Saint Jérôme écrivant";"Saint Jérôme écrivant est le titre de deux tableaux du Caravage :

Saint Jérôme écrivant, conservé à Rome (1606) ;
Saint Jérôme écrivant, conservé à La Valette (1607).";227;;;"Montpellier";"France";1620;92;879;"ac42929495c26c48e2567b4bb9f4de63c9ee85deae7088a859d98375461bb649.jpg"
260;"1859";296;121;;"Nezla d'Ouargla : à la recherche d'un campement";"";228;;;"Montpellier";"France";1859;92;880;"6afddf98e3389d43bcd7e378319130e484585273509c69669ffdde54c21e3075.jpg"
261;"1834";;;;"Vue des bords de la Seine sous le Château Gaillard, aux Andelys lieu de naissance";"";229;;;"Montpellier";"France";1834;92;881;"216b019d33debac0bd8f2eebe0c5e0e6f0f94bbcd6eef30f3a1eb62c50844a0e.jpg"
262;"1824";54.5;65;;"Portrait de Jean Bestieu";"";230;;;"Montpellier";"France";1824;92;882;"6c7f8ad730f785876b1c214733f4cf37a5fd944289d08e36798f6f19fe073c09.jpg"
263;"1635";;;;"Le Baptême du Christ";"Le Baptême du Christ est un thème iconographique important de la peinture religieuse. La représentation du baptême du Christ sur le site présumé d'Al-Maghtas au bord du Jourdain en Jordanie, rassemblent saint Jean le Baptiste et le Christ dans un décor champêtre, accompagnés d'autres personnages qui contemplent la scène ou y participent comme nouveaux baptisés. Conformément à l'Écriture, l'eau du baptême est celle du Jourdain et le Saint-Esprit doit être présent.";231;;;"Montpellier";"France";1635;92;883;"3b801e0b4bf8b80f670dac5e0f51ba224f8b6b50fca6ece8f7b230e4a45f277e.jpg"
264;"1843";;;;"Paysage historique, site d'Italie";"";232;;;"Montpellier";"France";1843;92;884;"48024deb890adf1ba6f43bdee067fd8df5284ca9faaed0b1618f829b2ea27082.jpg"
265;"1874";151.5;101;;"Le soir après l'orage, environs de Montpellier";"";233;;;"Montpellier";"France";1874;92;885;"2db4b4bbb9400a31f6031103b5c9e99d69a0ed929c261c751c6d2d428b6ca3c9.jpg"
266;"1870";44.5;55;;"Souvenir de Gustave Courbet";"";234;;;"Montpellier";"France";1870;92;886;"6af0ef51546027056f85b871296b9c8092dcec9a52028ee3741354a3cbe78cae.jpg"
267;"1820";74.5;98.5;;"Montaigne visitant Le Tasse en prison";"Montaigne visitant Le Tasse en prison est un tableau peint par François Marius Granet en 1820.
En 2014, il est prêté au Musée des beaux-arts de Lyon dans le cadre de l'exposition L'invention du Passé. Histoires de cœur et d'épée 1802-1850.";172;;;"Montpellier";"France";1820;92;887;"82ea6941d7da56107d744a8ad3c7f8bc330287155d009592f286a9a4a3d15c51.jpg"
268;"1848";80;192;56;"Nyssia";"";235;;;"Montpellier";"France";1848;92;888;"814b3c52cea496bf3b7a0df2b71c6e07326a6e97175c767bc982b626a6d63b80.jpg"
269;"1877";93.5;128;;"La Voiture d'enfant";"";236;;;"Montpellier";"France";1877;92;889;"d0175c42f10c257fa7dc5ff019b2d362247ca66e426a13825aa6cbaca5b65a5c.jpg"
270;"1454";30.5;48.5;;"la Résurrection du Christ";"La Résurrection du Christ est un tableau du peintre Giovanni Bellini (1475-1479) ;
La Résurrection du Christ est un tableau du peintre Raphaël (début du XVIe siècle) ;
La Résurrection du Christ est un tableau du peintre Caravage réalisé vers 1609-1610 mais détruit en 1805 ;
La Résurrection du Christ est un film américain réalisé par Kevin Reynolds (2016).";237;;;"Montpellier";"France";1454;92;890;"5a705e409850d44475bc8181720bab6ff5cd9e01c33c7a4ecc11517211c3b33f.jpg"
271;"1819";136;100;;"Le Passage du gué";"";238;;;"Montpellier";"France";1819;92;891;"135db7c89f2227356e5faa3ce38f80196194e663043234481833494366b754ee.jpg"
272;"1597";58.5;36.5;;"Sémiramis chassant le lion aux portes de Babylone";"";239;;;"Montpellier";"France";1597;92;892;"5eed5528f07dcb87f141376a942a8b2f4328e1e5c558cd856be2ba18d3459a8d.jpg"
273;"1658";68.5;50.4;;"L'alchimiste";"";240;;;"Montpellier";"France";1658;92;893;"fb0c4e8253726ca568a66f45f78b146306211fd41aa4f2b6484b2a68c199bb3c.jpg"
274;"1656";145.5;96;;"Paysage aux baigneurs";"";241;;;"Montpellier";"France";1656;92;894;"16ba7e6a684ecbe38c090f27d87164e3eacecfda8096e5d89df53f6f68bc16c4.jpg"
276;"1550";74.5;99;;"Portrait de Lorenzo de Medicis";"";243;;;"Montpellier";"France";1550;92;896;"03260912a47e9b9c645f369cfd0fc9496d2f3d1fee6fd38b3d4ecc024f80ad4a.jpg"
277;"1880";21.3;27.5;;"Portrait d'une dame";"Portrait d'une dame peut désigner :

une peinture de Rogier van der Weyden réalisée vers 1460 ;
une peinture du Corrège réalisée vers 1520 ;
une peinture de Diego Vélasquez réalisée vers 1625 ;
une peinture de Gustav Klimt réalisée en 1916 et 1917.";244;;;"Montpellier";"France";1880;92;897;"c1dd064775d3e567fb1bafd2f505818e97051db7e8f66574f2968659c5c0f4da.jpg"
278;"1637";159;122;;"Martyr de sainte Agathe";"";245;;;"Montpellier";"France";1637;92;898;"0664942f96e9e6a60a7726ba494fd2397e16a9448ce54dba9efdc3d20e33e209.jpg"
279;"1735";162.2;129.5;;"Tullie faisant passer son char sur le corps de son père.";"";246;;;"Montpellier";"France";1735;92;899;"b196b40f035da7d550fe002793bf4feaaf2065634a4c2072be6a79672ea47e63.jpg"
280;"1646";110;70;;"Les Noces de Cana";"Les Noces de Cana est un récit tiré du Nouveau Testament.

Les Noces de Cana (années 1500), tableau de Gérard David.
Les Noces de Cana (1531), tableau du Garofalo
Les Noces de Cana (après 1550), tableau de Jérôme Bosch
Les Noces de Cana (1562-1563), l'un des tableaux les plus célèbres de Véronèse
Les Noces de Cana, copie du tableau précédent réalisée en 1702 par Claude Charles, premier peintre du duc Léopold de Lorraine, visible au Musée des beaux-arts de Nancy.
Les Noces de Cana (vers 1575-1580), tableau de Lavinia Fontana
Les Noces de Cana (1676-1700), tableau de Jean Michel";247;;;"Montpellier";"France";1646;92;900;"0fd3308b433827274d8196f54e4573922561aa37fe27a419cdd6f1dd000af1f0.jpg"
281;"1639";66;56.5;;"Intérieur rustique.";"";248;;;"Montpellier";"France";1639;92;901;"024e0f35c2c840909e640024c32929bce9f61a83116f22be8724b19bd62c73c1.jpg"
282;"1872";165.5;110.5;;"La Mosquée bleue à Tauris en Perse";"";54;;;"Montpellier";"France";1872;92;902;"091170306834b800e49f4349d9f50aaec5b48aaf0b568c16844aeeb524e76954.jpg"
283;"1859";92;66.5;;"Paysage, souvenir d'Asie Mineure";"";54;;;"Montpellier";"France";1859;92;903;"2013c57e88009dbae84a20b7ab2a0b325396c29a63a406c388268bad2e12876b.jpg"
284;"1869";146;96;;"Le Chemin des Sables à Fontainebleau, effet d'orage";"";54;;;"Montpellier";"France";1869;92;904;"82fd0af0aad1bce96b26dffab1f7e148a4863cfb99c4725dcbd3ddbbde31cffe.jpg"
285;"1677";34;28;;"Bergers et Troupeau";"";249;;;"Montpellier";"France";1677;92;905;"a5bffafaceddb6f7105f57109efed69aa3bd1fd34e89958e08b48a898c702920.jpg"
286;"1670";37;30;;"Les Fagots";"";249;;;"Montpellier";"France";1670;92;906;"bc56fb1af44430ee5c6cd90aed35ec47f79d058527a3e5525daeeaa7dcace568.jpg"
287;"1658";18.3;23;;"L'Enfileuse de perles";"";250;;;"Montpellier";"France";1658;92;907;"3eda3c0e4a71b1706a59aadcf0d828af63d22da51be2362351bbfbc2661bb1cf.jpg"
288;"1855";;;;"Une femme de l'ilot de Schokland";"";251;;;"Montpellier";"France";1855;92;908;"8041e4aadee9fa83f7e764a43dfb29f56aeeb4c2de7c14a7b01d0aea17226033.jpg"
289;"1671";29;33.5;;"Q57596285";"";252;;;"Montpellier";"France";1671;92;909;"dd4d90d0c9a15c96f7b4959194e9061bc7925a9541c216b58de4b9acccf30bba.jpg"
290;"1630";;;;"Portrait d'homme (autoportrait?)";"";253;;;"Montpellier";"France";1630;92;910;"161ce78f9ca498cbaa6f8f83a3cd02f9e9d8082a539cdad6ad10a73451ada633.jpg"
291;"1645";;;;"La Vierge et l'Enfant";"";36;;;"Montpellier";"France";1645;92;911;"8af4dbf72f84b1c4065d8cd7b51be313517ffb7c1b6e4c8c304d3fcb25a15f22.jpg"
292;"1575";;;;"Portrait d'un jeune prince";"";254;;;"Montpellier";"France";1575;92;912;"e905e796c71e4b15391f01905194b87ce2b4e717ed84491adaf8ef9eeb2dcd36.jpg"
293;"1593";241;335;;"Massacre des habitants d'Hippone";"";255;;;"Montpellier";"France";1593;92;913;"de0563aa261cc21ec9cecb20d81f2e78c61080dbf01328894d2b419d84f425c0.jpg"
294;"1900";106.5;75;;"Promenade d'une famille dans les environs de Paris";"";256;;;"Montpellier";"France";1900;92;914;"9aeb5416101c499fa41aa27aa11f7b62b6fe4ca8ac78d29ee195c591627c6998.jpg"
295;"1779";;;;"Porttrait de Abraham Fontanel";"";257;;;"Montpellier";"France";1779;92;915;"a66d212feba130894516b6eef1c14e13a6b4bea6b171df438df91b7006495c80.jpg"
296;"1560";;;;"Mise au tombeau du Christ";"";258;;;"Montpellier";"France";1560;92;916;"768383f0cf4da1c2f8ca3727d2ab93106770eefdd4c57137eac6d4e70b7b96aa.jpg"
297;"1650";154;126;;"Judith et Holoferne";"";259;;;"Montpellier";"France";1650;92;917;"228e99d6e5a03d992afa08e6a77834a84847c589fa90e64b9be5f91157e44879.jpg"
298;"1685";;;;"Le Rédempteur enfant";"";260;;;"Montpellier";"France";1685;92;918;"be3c45744d5b4559052db5a43a59659c18bd8d95f21f0caaabb588d643a19601.jpg"
299;"1624";78;59;;"Paysage aux pèlerins d'Emmaüs";"";261;;;"Montpellier";"France";1624;92;919;"b508dfcb84b7948807112e085b88e8fd0402bbf20ddd37d4276f20c10ff5577e.jpg"
300;"1671";91.5;75.5;;"Etudes d'un ours brun";"";262;;;"Montpellier";"France";1671;92;920;"9098b996e951a45085a56f574353c6d6ff1effe89056f901bb6ae3a118fcae3d.jpg"
301;"1778";;;;"Naissance de la Vierge (esquisse).";"";86;;;"Montpellier";"France";1778;92;921;"d81da0247fb5fe1e17d3b8a1b7b76e6ad0a2da4cbc07676ac0b4a5555fa2fcae.jpg"
302;"1746";58.5;73;;"Saint Claude et saint Barthélémy intercédant auprès de la Vierge et de l’Enfant en faveur des Pénitents bleus";"";263;;;"Montpellier";"France";1746;92;922;"8f9e98e93cb6169bf057b15427ed1439b81a927e7f97ba8172c17b54ca85044b.jpg"
303;"1866";54.5;65;;"Jardin en fleurs, à Sainte-Adresse";"";39;;;"Montpellier";"France";1866;92;923;"bd714aa763b2349a735323d08642030e79c6b3052c190ba7e6f75d1b9dd958a1.jpg"
304;"1862";0.75;1.04;;"Trophée de chasse";"La chasse aux trophées est une chasse sélective visant le gros gibier, pratiquée par les humains à des fins récréatives et caractérisée par la volonté d'attester et de commémorer le succès de la chasse, grâce à l'exhibition d'un trophée de chasse.
Celui-ci consiste en une partie de l'animal ou son corps entier, souvent gardé en souvenir pour être taxidermisé et exposé, et traditionnellement photographié aux côtés du chasseur. Le trophée contribue à faire valoir un certain statut social, comme élément ostensible attestant des talents de chasse.
Les parties de l'animal qui sont conservées comme trophée de chasse sont généralement la peau, les bois, les défenses, les cornes et la tête. La carcasse peut être utilisée comme nourriture. Traditionnellement c'est l'animal le plus âgé et le plus mature d'un groupe qui est le plus recherché, donc souvent le plus grand mâle, ou celui ayant les plus grands bois ou les plus grandes cornes.
Elle a lieu sur tous les continents et peut être aussi bien pratiquée en milieu sauvage que dans des ranchs qui élèvent du gibier à ces fins. Son influence sur la conservation de la nature et sur l'économie locale est étudiée et fait l'objet de débats. Elle est interdite sur certains territoires et l'importation des trophées de chasse est réglementée, voire interdite, dans certains pays. Là-aussi, les effets de ces limitations font l'objet de débats.
La chasse aux trophées est controversée et a donc des partisans et des opposants. Les débats autour de cette pratique concernent la question de la moralité de la chasse récréative et l'efficacité des efforts supposés des chasseurs pour la conservation des espèces de gros gibier, mais aussi le déclin observé chez les espèces qui sont les cibles de cette chasse.";39;;;"Montpellier";"France";1862;92;924;"3925727ae8b1595c3622db54edc7b60d6d4d579b57505f0a14ad0e7f6f7db51c.jpg"
305;"1847";73;53;;"Exercices militaires des Marocains";"Exercices militaires des Marocains est un tableau orientaliste à l'huile sur toile du peintre français Eugène Delacroix, daté et signé de 1832, et conservé au Musée Fabre à Montpellier. Il représente une charge de fantasia.";31;;;"Montpellier";"France";1847;92;925;"56bcd87c93a877f05005d10360378c333a33e612d81ababf41fd028b90265da6.jpg"
306;"1906";60;64;;"Portrait d'Henri Carlier";"";40;;;"Montpellier";"France";1906;92;926;"011716121cf8870ab1c935ff7f3b7cee7a163348e752a4a1afcd7e86229a045a.jpg"
307;"1854";150.5;132;;"La Rencontre, ou Bonjour Monsieur Courbet";"";32;;;"Montpellier";"France";1854;92;927;"b903aeb338d66db83b2ff224ec3b818ff6f80ba287af9f5a5a4213bcb2380996.jpg"
308;"1853";193;227;;"Les Baigneuses";"Les Baigneuses est un tableau peint par Gustave Courbet en 1853. L'œuvre fait scandale au Salon de 1853 par son caractère résolument provocateur, Courbet ayant décidé de se démarquer de la production officielle par ses envois, dont cette œuvre. Le tableau est unanimement attaqué par la critique, pour la nature négligée de la scène, le caractère massif du nu en opposition avec les canons officiels. Acheté par le collectionneur et ami de Courbet Alfred Bruyas, cet achat permet à l'artiste de devenir indépendant financièrement et artistiquement. Le tableau fait partie des collections du musée Fabre de Montpellier.";32;;;"Montpellier";"France";1853;92;928;"bbd73eaf3843085bdae129c49158bf47a76b432e414f1cb5aaf7f3e51643310e.jpg"
309;"1854";46.2;38;;"Le Bord de mer à Palavas";"Le Bord de mer à Palavas est un tableau peint en 1854 par Gustave Courbet.";32;;;"Montpellier";"France";1854;92;929;"71e2402c194546edf1b00c7f0ea2c51d79dd951a5790259e38bf18abf0de700a.jpg"
310;"1848";65.5;54;;"Portrait de Charles Baudelaire";"Le Portrait de Charles Baudelaire est une peinture de Gustave Courbet réalisée en  1848.";32;;;"Montpellier";"France";1848;92;930;"cee358b580eb4e8b0e58e56bef1107ea7a4fdbea6201ae4b8aaeb519403cacda.jpg"
311;"1853";117;89;;"La Fileuse endormie";"La Fileuse endormie est un tableau réalisé par le peintre français Gustave Courbet en 1853. Cette huile sur toile représente une femme qui s'est assoupie en station assise à côté d'un rouet, mais tenant encore l'écheveau de la quenouille sur ses genoux. La tradition retient que l'artiste a pris sa sœur Zélie comme modèle de cette œuvre qu'il expose au Salon de 1853, à Paris. Don d'Alfred Bruyas en 1868, elle est conservée au musée Fabre, à Montpellier, dans l'Hérault.";32;;;"Montpellier";"France";1853;92;931;"108c832d66ee90110cc168b2c3592fcdefe25be761b5f2db42955a4fb370ef8a.jpg"
312;"1854";38;46;;"Autoportrait dit au col rayé";"Autoportrait dit au col rayé est un tableau réalisé par le peintre français Gustave Courbet en 1854. Cette huile sur toile est un autoportrait dans lequel l'artiste se représente en buste, aperçu par son profil gauche. Il y figure portant une veste au col rayé empruntée à Alfred Bruyas. Don de ce dernier en 1868, l'œuvre est conservée au musée Fabre, à Montpellier, dans l'Hérault.";32;;;"Montpellier";"France";1854;92;932;"217a24049a95fc73da5ba6e08a1719928dcd6c4cfa4edce049dd1f9bf8c10d97.jpg"
313;"1870";110;182;;"Portrait d'Antonin Proust, Ministre des Beaux-Arts";"";41;;;"Montpellier";"France";1870;92;933;"5329c2260c1cbca84e16000a27875df3d5d31b67a7cf928f7b1b3ec0324bd820.jpg"
314;"1625";202;77;;"Paysage avec Vénus et Adonis";"";33;;;"Montpellier";"France";1625;92;934;"764e1c9afecf520a849e7f8ff63cd0aa55b47c1ff7a95a80ed4eeb8bb171f21a.jpg"
315;"1949";41;33;;"Corrida course de taureaux";"Corrida, course de taureaux est une gouache sur toile exécutée par Raoul Dufy en 1949. Il avait déjà réalisé un autre dessin tauromachique : Suerte de vara, mine de plomb.";42;;;"Montpellier";"France";1949;92;935;"c1cfa5ac5c5454237ffc98fd1f9797b21a4184c0a580c9c92714985acc23d6ab.jpg"
316;"1783";91;72;;"Portrait du médecin Alphonse Leroy";"Le Portrait du médecin Alphonse Leroy est un tableau peint par Jacques-Louis David en 1783 et conservé au musée Fabre de Montpellier. L'attention portée sur les détails naturalistes et la tonalité vive de la toile marque chez David une influence des peintres flamands qu'il a vus lors de son séjour dans les Flandres en 1781. Jean-François Garneray, l'un de ses élèves, l'assista pour la peinture des étoffes et de la main. Le tableau est exposé au Salon de peinture et de sculpture de 1783, et fait aujourd'hui partie des collections du musée Fabre, qui l'a acheté en 1829.";35;;;"Montpellier";"France";1783;92;936;"5ed01af343f7baccf329409dc14ca9c2354acef8d65b67157bdea3a365b47ff8.jpg"
317;"1790";96;127;;"Portrait de Philippe-Laurent de Joubert";"Le Portrait de Philippe-Laurent de Joubert est un tableau peint par Jacques-Louis David, dont la date inconnue est évaluée selon Antoine Schnapper entre 1790 et 1792 (le modèle étant mort le 30 mars 1792). Le tableau inachevé, appartient à la période révolutionnaire du peintre, et est à rapprocher par son état et son style, de ses deux autres portraits inachevés de madame Trudaine et de madame Pastoret. Le tableau fait partie des collections du musée Fabre de Montpellier.";35;;;"Montpellier";"France";1790;92;937;"4b90b4552f188c921510a4facac22faeb2a2807d3329aae23e73606e76c1f7aa.jpg"
318;"1865";100;80;;"Le Héron aux ailes déployées";"";43;;;"Montpellier";"France";1865;92;938;"1512ef993b5dabdae66a2660bd6dac6eed139ba439711ada32f87e0380eee1fd.jpg"
320;"1865";65;80;;"Atelier de la rue Furstenberg";"L’Atelier de la rue Furstenberg est une œuvre du peintre Frédéric Bazille, conservée au musée Fabre à Montpellier.
Cette peinture représente l'atelier qu'il partagea avec Claude Monet jusqu'en janvier 1866. Il est situé au 6, place de Furstenberg, dans le VIe arrondissement de Paris. C'est dans cet atelier que Monet a peint son tableau Le Déjeuner sur l'herbe en 1865 (à ne pas confondre avec celui d'Édouard Manet qui, à cette époque, avait intitulé le sien Le Bain).
À la même adresse, un étage en dessous, se situait l'atelier d'Eugène Delacroix entre 1857 jusqu'à sa mort. Il s'était installé ici pour se rapprocher de l'église Saint-Sulpice dont il avait été chargé, dès 1847, de décorer une chapelle. Cet atelier sera ensuite repris par Diogène Maillart, élève de Delacroix, où il travaillera à obtenir le grand prix de Rome de peinture en 1864.
Après 1929, et grâce à l'action de la Société des amis d'Eugène Delacroix menée par Maurice Denis et Paul Signac, le bâtiment deviendra le lieu de promotion de l’œuvre de Delacroix, puis ce qu'il est aujourd'hui : le musée national Eugène-Delacroix.";1;;;"Montpellier";"France";1865;92;940;"7186b2d00e99e49932d47f3d1c523edc96ed24f5adee3d27275927185a36ddb2.jpg"
321;"1870";128;130;;"La Toilette";"La Toilette est un titre d'œuvre notamment porté par :

La Toilette, tableau de Frédéric Bazille peint en 1870.
La Toilette, tableau d'Henri de Toulouse-Lautrec peint en 1889.";1;;;"Montpellier";"France";1870;92;941;"055aba3343d17a821c4627a471eb877e4234d72ca812e8a78739cddb0775bca1.jpg"
322;"1870";75.2;60.3;;"Jeune femme aux pivoines";"La Jeune Femme aux pivoines (ancien titre : Négresse aux pivoines,) est une peinture à l'huile sur toile réalisée par Frédéric Bazille (1841-1870), et conservée au musée Fabre de Montpellier.";1;;;"Montpellier";"France";1870;92;942;"1be38e8f51635b7a2486f08893e54180e7d7b55ee2ef17f9f6abbb0be69a8429.jpg"
323;"1630";60;127;;"Sainte Agathe";"Sainte Agathe désigne plusieurs saintes portant le prénom d'Agathe (du grec αγαθος = Bonne) :

Agathe de Catane († 251), vierge et martyre, fêtée le 5 février.
Agathe de Nicomédie († 303), martyre parmi les 20 000 livrés aux flammes en Bithynie ;";44;;;"Montpellier";"France";1630;92;943;"7ce8b20a7fc76d75aeb438ad3b5770b34173ac875a84128ea876ee20d96c917a.jpg"
324;"1630";62;146.5;;"L'Ange Gabriel";"L'Ange Gabriel est un tableau réalisé par le peintre espagnol Francisco de Zurbarán vers 1631-1632. Cette huile sur toile est une peinture chrétienne qui représente l'archange Gabriel en pied, le regard levé vers le Ciel. Achetée en 1852 par la ville de Montpellier, en France, l'œuvre est conservée au musée Fabre.";44;;;"Montpellier";"France";1630;92;944;"4223b8d5d0fc74209abce36ff7af2bf2b87e86ae57ff83d7a4722b3d59f7530f.jpg"
325;"1660";66.5;57.5;;"Cascade dans un bois de chênes";"";45;;;"Montpellier";"France";1660;92;945;"cfb52024e2da39a646f51a3c94e478235eefad54ebbf84a57b3280405a4c162f.jpg"
326;"1649";21.5;25.5;;"Paysage par temps d'orage";"";45;;;"Montpellier";"France";1649;92;946;"65496b8516ae6054e151fd06a424c60eae3be2fcfa80c8c7d7be7a041dba1940.jpg"
327;"1641";108;132;;"Sainte Marie l'Égyptienne";"Sainte Marie l'Égyptienne est un tableau réalisé par le peintre espagnol José de Ribera en 1641. Cette huile sur toile est une peinture chrétienne qui représente Marie l'Égyptienne les mains jointes en prière sous des rochers, à côté d'un morceau de pain et d'un crâne humain. Legs de François-Xavier Fabre en 1837, l'œuvre est conservée au musée Fabre, à Montpellier, en France.";46;;;"Montpellier";"France";1641;92;947;"ca763cd1c55ee1824a0453d1e9c955c110175daa8ddddd6410392be47af02072.jpg"
328;"1875";;;;"Vénus victorieuse";"";28;;;"Montpellier";"France";1875;92;948;"9a051b2626ff5c3dfe3a740ec12e1c69cd49285667ddc42f76931eed31db27be.jpg"
329;"1880";314;225;;"Phèdre";"Phèdre, prénom épicène qui signifie « lumineux » en grec, peut faire référence à :";28;;;"Montpellier";"France";1880;92;949;"5733bd157867fadbda859f33fb42dfd3a22b71d673dd6474aef563876edb2309.jpg"
330;"1774";163;98;;"Les abords d'une foire";"";47;;;"Montpellier";"France";1774;92;950;"2c5517625f54970e70ffb586c9dc51f75dee8a410c78bf5cd758868534daa7ae.jpg"
331;"1745";;;;"Marine, temps calme";"";47;;;"Montpellier";"France";1745;92;951;"c633da90841f869aad62e603cd747cb67be665ad6426b8b47602d4d95a423d4a.jpg"
332;"1774";92.5;71;;"Le Gâteau des rois";"Le Gâteau des rois est une peinture de genre de Jean-Baptiste Greuze réalisée en 1774, montrant la tarte française alors traditionnellement cuite pour l'Épiphanie afin de célébrer l'arrivée des trois rois. Depuis 1836, il se trouve au musée Fabre de Montpellier.";48;;;"Montpellier";"France";1774;92;952;"864fe7efef72f04ef3c18a695f298736ace5d1a3b869c39366b1bf2c7b421363.jpg"
333;"1660";24;28.5;;"La marchande de harengs";"";49;;;"Montpellier";"France";1660;92;953;"1eee8fc0cc5f6df987bc2f4abedf67a0ba91742cd0729785e8e6feefbadc3781.jpg"
